bike_bike_id,bike_name,url
1,BMW 320i 2013,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxe3-1.jpg_6043?alt=media&token=6a950be9-1b1d-41f3-8d44-3e3f615aac7d
1,BMW 320i 2013,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxe3-2.jpg_5424?alt=media&token=6bb21105-ccf4-4368-b364-11566e5230cd
1,BMW 320i 2013,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxe3-3.jpg_3305?alt=media&token=47b07a21-8df9-4ccb-8560-c8eeb92296b5
1,BMW 320i 2013,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxe3-4.jpg_2851?alt=media&token=9d8c1cd9-5391-4b21-aa08-1d729e7b5e81
2,TOYOTA WIGO 2019,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx11.jpg_6445?alt=media&token=4b556600-57fa-4b60-807b-86be9a18f686
2,TOYOTA WIGO 2019,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx12.jpg_2122?alt=media&token=10af7254-234d-407f-8f4e-f4a8fc50b33f
2,TOYOTA WIGO 2019,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx1.jpg_7587?alt=media&token=ffdcc144-2905-4db0-aa26-2f3b08680a57
3,KIA MORNING 2015,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx22.jpg_1973?alt=media&token=e647da7c-7057-43c2-830c-821511392812
3,KIA MORNING 2015,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx23.jpg_81?alt=media&token=c583db74-03d2-4782-ba1a-dc4b8b8df8a7
3,KIA MORNING 2015,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx2.jpg_5388?alt=media&token=7b2c0130-b7c8-4474-8b93-ce94025431ad
4,CHEVROLET DUO (VAN) 2018,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx3.jpg_1062?alt=media&token=44d03680-9b7c-48af-b583-8fe729a8c810
4,CHEVROLET DUO (VAN) 2018,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx32.jpg_2822?alt=media&token=a58f2d29-3492-4056-98b3-ac4d5ab6524a
4,CHEVROLET DUO (VAN) 2018,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx31.jpg_8962?alt=media&token=cec71b56-98c5-4fc3-bc78-5d004773eff0
5,HYUNDAI I10 SEDAN 2020,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx4.jpg_4339?alt=media&token=09287c8d-c6dc-4c4f-a7a9-208e44bd5127
5,HYUNDAI I10 SEDAN 2020,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx41.jpg_1657?alt=media&token=77da7386-87ec-4917-87f5-587a819edffb
5,HYUNDAI I10 SEDAN 2020,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fx44.jpg_3816?alt=media&token=38554229-cc14-40b1-8cb5-66dbcc64f139
6,Xe Đạp Địa Hình Fascino FS126S 26 Inch,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxd1.jpg_8381?alt=media&token=ae4cd371-013d-4cf4-bd4d-370bb263f9ab
7,Xe Đạp Địa Hình Trợ Lực Điện Life Vision 27.5 Inch,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxd2.jpg_7568?alt=media&token=68a37f9e-f49c-478e-9da8-e0d6d5f7f48b
8, Xe Đạp Địa Hình Fascino 120R 20 Inch,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxd3.jpg_8400?alt=media&token=d9d48536-4c3f-4e2d-b4ad-9badbb27ee93
9,Xe Đạp Đua Địa Hình MTB GIANT Anthem Advanced Pro 29 3 2022 – QT,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxd4.jpg_8745?alt=media&token=770a3697-86f1-41bf-a0e6-d0842492fb05
10,Xe Đạp Trẻ Em Youth ROYALBABY Macaron – Bánh 16 Inches,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxd5.jpg_6121?alt=media&token=7352f3f2-70a4-4c5a-bbac-1626774e7576
11,Xe Đạp Đường Phố Thống Nhất GN 06-24 24 Inch,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxd6.jpg_83?alt=media&token=5ee450b2-e5a5-43d2-a65e-9ef9b6857c0c
12,Xe Đạp Đường Phố Thống Nhất LD24-02 Spring 24 Inch,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxd7.jpg_5034?alt=media&token=87e9094b-31e6-462c-b89a-a1fad54b3490
13,Yamaha exciter led 150,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxm1.jpg_6472?alt=media&token=16663d19-a80f-4cc8-8e10-d95c5b6a031c
13,Yamaha exciter led 150,https://firebasestorage.googleapis.com/v0/b/gowheels-b0d13.appspot.com/o/files%2Fxm2.jpg_4482?alt=media&token=321fe677-f564-4006-a42a-bd0bbe3f0a8f
